Name,Source,Size,Type,Alignment,Habitat,Main Habitat,Other Habitat,Treasure,AC,HP,Initiative,Walk,Burrow,Climb,Fly,Hover,Swim,STR Mod,INT Mod,DEX Mod,WIS Mod,CON Mod,CHA Mod,STR Save,INT Save,DEX Save,WIS Save,CON Save,CHA Save,Proficient,Expertise,Vulnerabilities,Resistances,Immunities Conditions,Immunities Damage,Blindsight,Darkvision,Truesight,Tremorsense,Passive Perception,Languages,CR,XP.,PB,Traits,# of Legendary Resistance,# of Atk,Atk 1 Type,Atk 1 Mod,Atk 1 Range,Atk 1 Range Short,Atk 1 Range Long,Atk 1 Dam.,Atk 1 Damage Type,Atk 2 Type,Atk 2 Mod,Atk 2 Range,Atk 2 Range short,Atk 2 Range Long,Atk 2 Dam.,Atk 2 Damage Type,Atk 3 Type,Atk 3 Mod,Atk 3 Range,Atk 3 Range short,Atk 3 Range Long,Atk 3 Dam.,Atk 3 Damage Type,Atk 4 Type,Atk 4 Mod,Atk 4 Range,Atk 4 Range short,Atk 4 Range Long,Atk 4 Dam.,Atk 4 Damage Type,Save DC,Saving Throw,Action Notes,Ability,Spell Save DC,Spell Saving Throws,Spell Attack,At Will,3/Day,2/Day,1/Day,Bonus Action,Reaction,Amount,Legendary Action Save DC,Legendary Action Saving Throw,Legendary Actions.,Lair,xp,Legendary Resistance,Legendary Actions,Lair Save DC,Lair Saving Throws,Other
Aarakocra Aeromancer,2024 Monster Manual,Medium,Elemental (Aarakocra),Neutral,"Mountain, Planar (Elemental Plane of Air)","Mountain, Planar",Elemental Plane of Air,"Implements, Individual",16,66,3,20,,,50,,,0,1,3,3,1,1,0,1,5,5,1,1,"Arcana, Nature",Perception,,,,,,,,,17,"Aarakocra, Primordial (Auran)",4,"1,100",2,,,3,Melee,5,5,,,18,"Bludgeoning, Lightning",Ranged,5,120,120,,18,"Bludgeoning, Lightning",,,,,,,,,,,,,,,,,,Wisdom,13,"Dexterity, Strength",5,"Elementalism, Gust of Wind, Mage Hand, Message",,,"Lightning Bolt, Feather Fall",,Feather Fall cast feather fall,,,,,,,,,,,
Aarakocra Skirmisher,2024 Monster Manual,Medium,Elemental (Aarakocra),Neutral,"Mountain, Planar (Elemental Plane of Air)","Mountain, Planar",Elemental Plane of Air,"Implements, Individual",12,11,2,20,,,50,,,0,0,2,1,1,0,0,0,2,1,1,0,,Perception,,,,,,,,,15,"Aarakocra, Primordial (Auran)",1/4,50,2,,,1,Melee,4,5,,,4,Slashing,Melee,4,5,,,7,"Piercing, Thunder",Ranged,4,30/120,30,120,7,"Piercing, Thunder",,,,,,,,,,Atk 1 if  moving 30ft+ 9 damage,,,,,,,,,,,,,,,,,,,,,
Aberrant Cultist,2024 Monster Manual,Medium or Small,Humanoid (Cultist),Neutral Evil,Any,Any,," Individual, Relics",14,137,7,30,,,,,,0,3,4,4,1,2,0,6,4,7,1,2,"Arcanna, Perception, Religion",,,,,,,90,,,17,"Common, Deep Speech, Telepathy",8,"3,900",3,,,2,Melee,7,10,,,21,"Slashing, Psychic",,,,,,,,,,,,,,,,,,,,,,15,Wisdom,"Atk 1 on hit grappled and restrained, Mind Rot within 90ft on fail poisoned",Wisdom,15,"Constitution, Wisdom",7,"Detect Thoughts, Minor Illusion",,Counterspell,,,Counterspell cast counterspell,,,,,,,,,,,
Aboleth,2024 Monster Manual,Large,Aberration,Lawful Evil,"Underdark, Underwater","Underdark, Underwater",,Relics,17,150,7,10,,,,,40,5,4,-1,2,2,4,5,8,3,6,6,4,,"History, Perception",,,,,120,,,,20,"Deep Speech, Telepathy",10,"5,900",4,"Amphibious, Eldritch Restoration, Mucus Cloud, Probing Telepathy",3,3,Melee,9,15,,,12,Bludgeoning,,,,,,,,,,,,,,,,,,,,,,16,"Intelligence, Wisdom","Akt 1 grapples, 30ft that is charmed or grappled takes 10 psychic damage and gains memories if target is reduced to 0, 30ft charmes",,,,,,,,,,,3,,,Makes another attack or regains 5hp,Yes,"7,200",4,4,15,Constitution,"On fail poisoned, Cast Project Image with a 1 mile range"
Abominable Yeti,2024 Monster Manual,Huge,Monstrosity,Chaotic Evil,Arctic,Arctic,,Any,15,137,4,40,,40,,,,7,-1,0,1,6,-1,7,-1,0,1,6,-1,,"Perception, Stealth",,,,Cold,,60,,,19,Yeti,9,"5,000",4,Fear of Fire,,3,Melee,11,5,,,21,"Slashing, Cold",Ranged,11,60/240,60,240,19,"Bludgeoning, Cold",,,,,,,,,,,,,,,18,Constitution,"Chilling Gaze within 30ft on fail 21 cold damage and paralyzed, Cold Breath recharges on 6 30ft cone on fail 45 cold damage",,,,,,,,,,,,,,,,,,,,,
Adult Black Dragon,2024 Monster Manual,Huge,Dragon (Chromatic),Chaotic Evil,Swamp,Swamp,,Relics,19,195,12,40,,,80,,40,6,2,2,1,5,4,6,2,7,6,5,4,Stealth,Perception,,,,Acid,60,120,,,21,"Common, Draconic",14,"11,500",5,Amphibious,3,3,Melee,11,10,,,17,"Slashing, Acid",Ranged,9,90,90,,32,Acid,,,,,,,,,,,,,,,18,Dexterity,"Acid Breath recharges on 5-6 Dex save 60ft 5ft wide line 54 Acid, Akt 2 is a casting of Melf's Acid Arrow",Charisma,17,"Dexterity, Wisdom",9,"Detect Magic, Fear, Melf's Acid Arrow (3rd level)",,,"Speak with Dead, Vitriolic Sphere",,,3,17,"Dexterity, Wisdom","22 poison and disadv on con. saves,  Frightful Presence, Pounce",Yes,"13,000",4,4,15,Constitution,On fail Poisoned
Adult Blue Dragon,2024 Monster Manual,Huge,Dragon (Chromatic),Lawful Evil,"Coastal, Desert","Coastal, Desert",,Relics,19,212,10,40,30,,80,,,7,3,0,2,6,5,7,3,5,7,6,5,Stealth,Perception,,,,Lightning,60,120,,,22,"Common, Draconic",16,"15,000",5,,3,3,Melee,12,10,,,21,"Slashing, Lighting",Range AOE,,60,,,14,Thunder,,,,,,,,,,,,,,,19,Dexterity,Lightning Breath recharges on 5-6 90ft 5ft wide line 60 lightning,Charisma,18,"Constitution, Wisdom",10,"Detect Magic, Invincibility, Mage Hand, Shatter",,,"Scrying, Sending",,,3,18,Constitution,"Cast invisibility and fly 1/2, Cast shatter, Makes an attack",Yes,"18,000",4,4,15,Dexterity,On fail fall into a 2d4 * 10 hole
Adult Brass Dragon,2024 Monster Manual,Huge,Dragon (Metallic),Chaotic Good,Desert,Desert,,Arcana,18,172,10,40,30,,80,,,6,2,0,1,5,3,6,2,5,6,5,3,"History, Persuasion, Stealth",Perception,,,,Fire,60,120,,,21,"Common, Draconic",13,"10,000",5,,3,3,Melee,11,10,,,21,"Slashing, Fire",Ranged,8,120,120,,21,Fire,,,,,,,,,,,,,,,18,"Dexterity, Constitution","Akt 2 is casting scorching ray, Fire Breath recharges on 5-6 60ft 5ft wide line 45 fire damage, Sleep Breath 60ft coone cause incapacitated and possibly unconscious",Charisma,16,Wisdom,8,"Detect Magic, Minor Illusion, Scorching Ray, Shapechange, Speak with Animals",,,"Detect Thoughts, Control Weather",,,3,16,Dexterity,"Cast scorching Ray, Pounce, 27 fire damage and 1/2 speed of target's",Yes,"11,500",4,4,,,Can cast Major Image
Adult Bronze Dragon,2024 Monster Manual,Huge,Dragon (Metallic),Lawful Good,Coastal,Coastal,, Implements,18,212,10,40,,,80,,40,7,3,0,2,6,5,7,3,5,7,6,5,"Insight, Stealth",Perception,,,,Lightning,60,120,,,22,"Common, Draconic",15,"13,000",5,Amphibious,3,3,Melee,12,10,,,21,"Slashing, Lighting",Ranged,10,120,120,,18,Radiant,,,,,,,,,,,,,,,19,"Dexterity, Strength","Akt 2 is casting Guiding Bolt (level 2), Lightning Breath recharges on 5-6 90ft 5ft wide line 55 lightning, Repulsion Breath 30ft coone targets are pushed 60ft and are prone",Charisma,17,Wisdom,10,"Detect Magic, Guiding Bolt (level 2), Shapechange, Speak with Animals, Thaumaturgy",,,"Detect Thoughts, Water Breathing",,,3,17,Constitution,"Cast Guiding Bolt, Pounce, 10 thunder damage and makes deafened",Yes,"15,000",4,4,,,Can cast Control Weather
Adult Copper Dragon,2024 Monster Manual,Huge,Dragon (Metallic),Chaotic Good,Hill,Hill,,Arcana,18,184,11,40,,40,80,,,6,4,1,2,5,4,6,4,6,7,5,4,"Deception, Stealth",Perception,,,,Acid,60,120,,,22,"Common, Draconic",14,"11,500",5,,3,3,Melee,11,10,,,21,"Slashing, Acid",Ranged,,120,120,,23,Psychic,,,,,,,,,,,,,,,18,"Dexterity, Constitution","Akt 2 is casting mind spike (level 4), Acid Breath recharges on 5-6 60ft 5ft wide line 54 acid damage, Slowing Breath 60ft coone target's speed is halved and can't take reactions, and either an action or bonus action",Charisma,17,Wisdom,9,"Detect Magic, Mind Spike (level 4), Minor Illusion, Shapechange",,,"Greater Restoration, Major Image",,,3,17,Charisma,"24 psychic damage and -1d6 on ability checks and attack rolls, Cast Mind Spike (level 4), Pounce",Yes,"13,000",4,4,15,Wisdom,On fail incapacitated
